"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"10/31/2025 1 a.m. EDT",13997
NYIS,"10/31/2025 2 a.m. EDT",13502
NYIS,"10/31/2025 3 a.m. EDT",13187
NYIS,"10/31/2025 4 a.m. EDT",13062
NYIS,"10/31/2025 5 a.m. EDT",13200
NYIS,"10/31/2025 6 a.m. EDT",13867
NYIS,"10/31/2025 7 a.m. EDT",15252
NYIS,"10/31/2025 8 a.m. EDT",16272
NYIS,"10/31/2025 9 a.m. EDT",16619
NYIS,"10/31/2025 10 a.m. EDT",16813
NYIS,"10/31/2025 11 a.m. EDT",16876
NYIS,"10/31/2025 12 p.m. EDT",16734
NYIS,"10/31/2025 1 p.m. EDT",16489
NYIS,"10/31/2025 2 p.m. EDT",16442
NYIS,"10/31/2025 3 p.m. EDT",16420
NYIS,"10/31/2025 4 p.m. EDT",16586
NYIS,"10/31/2025 5 p.m. EDT",16914
NYIS,"10/31/2025 6 p.m. EDT",17255
NYIS,"10/31/2025 7 p.m. EDT",17307
NYIS,"10/31/2025 8 p.m. EDT",17075
NYIS,"10/31/2025 9 p.m. EDT",16723
NYIS,"10/31/2025 10 p.m. EDT",16175
NYIS,"10/31/2025 11 p.m. EDT",15437
NYIS,"11/1/2025 12 a.m. EDT",14633
NYIS,"11/1/2025 1 a.m. EDT",14008
NYIS,"11/1/2025 2 a.m. EDT",13581
NYIS,"11/1/2025 3 a.m. EDT",13289
NYIS,"11/1/2025 4 a.m. EDT",13174
NYIS,"11/1/2025 5 a.m. EDT",13199
NYIS,"11/1/2025 6 a.m. EDT",13474
NYIS,"11/1/2025 7 a.m. EDT",14105
NYIS,"11/1/2025 8 a.m. EDT",14750
NYIS,"11/1/2025 9 a.m. EDT",14956
NYIS,"11/1/2025 10 a.m. EDT",14696
NYIS,"11/1/2025 11 a.m. EDT",14307
NYIS,"11/1/2025 12 p.m. EDT",14116
NYIS,"11/1/2025 1 p.m. EDT",14095
NYIS,"11/1/2025 2 p.m. EDT",13984
NYIS,"11/1/2025 3 p.m. EDT",14215
NYIS,"11/1/2025 4 p.m. EDT",14653
NYIS,"11/1/2025 5 p.m. EDT",15348
NYIS,"11/1/2025 6 p.m. EDT",16201
NYIS,"11/1/2025 7 p.m. EDT",16796
NYIS,"11/1/2025 8 p.m. EDT",16673
NYIS,"11/1/2025 9 p.m. EDT",16334
NYIS,"11/1/2025 10 p.m. EDT",15890
NYIS,"11/1/2025 11 p.m. EDT",15329
NYIS,"11/2/2025 12 a.m. EDT",14684
NYIS,"11/2/2025 1 a.m. EDT",14137
NYIS,"11/2/2025 1 a.m. EST",13660
NYIS,"11/2/2025 2 a.m. EST",13285
NYIS,"11/2/2025 3 a.m. EST",13165
NYIS,"11/2/2025 4 a.m. EST",13118
NYIS,"11/2/2025 5 a.m. EST",13239
NYIS,"11/2/2025 6 a.m. EST",13602
NYIS,"11/2/2025 7 a.m. EST",14100
NYIS,"11/2/2025 8 a.m. EST",14187
NYIS,"11/2/2025 9 a.m. EST",13811
NYIS,"11/2/2025 10 a.m. EST",13408
NYIS,"11/2/2025 11 a.m. EST",13035
NYIS,"11/2/2025 12 p.m. EST",12804
NYIS,"11/2/2025 1 p.m. EST",12647
NYIS,"11/2/2025 2 p.m. EST",12703
NYIS,"11/2/2025 3 p.m. EST",13173
NYIS,"11/2/2025 4 p.m. EST",14449
NYIS,"11/2/2025 5 p.m. EST",15971
NYIS,"11/2/2025 6 p.m. EST",16977
NYIS,"11/2/2025 7 p.m. EST",16967
NYIS,"11/2/2025 8 p.m. EST",16584
NYIS,"11/2/2025 9 p.m. EST",16262
NYIS,"11/2/2025 10 p.m. EST",15657
NYIS,"11/2/2025 11 p.m. EST",14875
NYIS,"11/3/2025 12 a.m. EST",14162
NYIS,"11/3/2025 1 a.m. EST",13722
NYIS,"11/3/2025 2 a.m. EST",13396
NYIS,"11/3/2025 3 a.m. EST",13198
NYIS,"11/3/2025 4 a.m. EST",13164
NYIS,"11/3/2025 5 a.m. EST",13453
NYIS,"11/3/2025 6 a.m. EST",14432
NYIS,"11/3/2025 7 a.m. EST",15932
NYIS,"11/3/2025 8 a.m. EST",16531
NYIS,"11/3/2025 9 a.m. EST",16218
NYIS,"11/3/2025 10 a.m. EST",15849
NYIS,"11/3/2025 11 a.m. EST",15799
NYIS,"11/3/2025 12 p.m. EST",16130
NYIS,"11/3/2025 1 p.m. EST",16488
NYIS,"11/3/2025 2 p.m. EST",16756
NYIS,"11/3/2025 3 p.m. EST",17065
NYIS,"11/3/2025 4 p.m. EST",17198
NYIS,"11/3/2025 5 p.m. EST",17846
NYIS,"11/3/2025 6 p.m. EST",18437
NYIS,"11/3/2025 7 p.m. EST",18211
NYIS,"11/3/2025 8 p.m. EST",17747
NYIS,"11/3/2025 9 p.m. EST",17233
NYIS,"11/3/2025 10 p.m. EST",16447
