"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"11/17/2025 6 p.m. EST",20097
NYIS,"11/17/2025 7 p.m. EST",19905
NYIS,"11/17/2025 8 p.m. EST",19473
NYIS,"11/17/2025 9 p.m. EST",18878
NYIS,"11/17/2025 10 p.m. EST",18010
NYIS,"11/17/2025 11 p.m. EST",16999
NYIS,"11/18/2025 12 a.m. EST",15997
NYIS,"11/18/2025 1 a.m. EST",15286
NYIS,"11/18/2025 2 a.m. EST",14834
NYIS,"11/18/2025 3 a.m. EST",14563
NYIS,"11/18/2025 4 a.m. EST",14465
NYIS,"11/18/2025 5 a.m. EST",14697
NYIS,"11/18/2025 6 a.m. EST",15556
NYIS,"11/18/2025 7 a.m. EST",17034
NYIS,"11/18/2025 8 a.m. EST",17829
NYIS,"11/18/2025 9 a.m. EST",17583
NYIS,"11/18/2025 10 a.m. EST",16938
NYIS,"11/18/2025 11 a.m. EST",16601
NYIS,"11/18/2025 12 p.m. EST",16463
NYIS,"11/18/2025 1 p.m. EST",16235
NYIS,"11/18/2025 2 p.m. EST",16441
NYIS,"11/18/2025 3 p.m. EST",16930
NYIS,"11/18/2025 4 p.m. EST",17852
NYIS,"11/18/2025 5 p.m. EST",18986
NYIS,"11/18/2025 6 p.m. EST",19680
NYIS,"11/18/2025 7 p.m. EST",19535
NYIS,"11/18/2025 8 p.m. EST",19219
NYIS,"11/18/2025 9 p.m. EST",18700
NYIS,"11/18/2025 10 p.m. EST",17962
NYIS,"11/18/2025 11 p.m. EST",16989
NYIS,"11/19/2025 12 a.m. EST",16045
NYIS,"11/19/2025 1 a.m. EST",15395
NYIS,"11/19/2025 2 a.m. EST",14919
NYIS,"11/19/2025 3 a.m. EST",14661
NYIS,"11/19/2025 4 a.m. EST",14563
NYIS,"11/19/2025 5 a.m. EST",14838
NYIS,"11/19/2025 6 a.m. EST",15666
NYIS,"11/19/2025 7 a.m. EST",17156
NYIS,"11/19/2025 8 a.m. EST",18083
NYIS,"11/19/2025 9 a.m. EST",17896
NYIS,"11/19/2025 10 a.m. EST",17247
NYIS,"11/19/2025 11 a.m. EST",16637
NYIS,"11/19/2025 12 p.m. EST",16241
NYIS,"11/19/2025 1 p.m. EST",15981
NYIS,"11/19/2025 2 p.m. EST",15950
NYIS,"11/19/2025 3 p.m. EST",16376
NYIS,"11/19/2025 4 p.m. EST",17476
NYIS,"11/19/2025 5 p.m. EST",18740
NYIS,"11/19/2025 6 p.m. EST",19548
NYIS,"11/19/2025 7 p.m. EST",19419
NYIS,"11/19/2025 8 p.m. EST",19166
NYIS,"11/19/2025 9 p.m. EST",18720
NYIS,"11/19/2025 10 p.m. EST",18005
NYIS,"11/19/2025 11 p.m. EST",17077
NYIS,"11/20/2025 12 a.m. EST",16161
NYIS,"11/20/2025 1 a.m. EST",15522
NYIS,"11/20/2025 2 a.m. EST",15095
NYIS,"11/20/2025 3 a.m. EST",14838
NYIS,"11/20/2025 4 a.m. EST",14766
NYIS,"11/20/2025 5 a.m. EST",15049
NYIS,"11/20/2025 6 a.m. EST",15921
NYIS,"11/20/2025 7 a.m. EST",17410
NYIS,"11/20/2025 8 a.m. EST",18170
NYIS,"11/20/2025 9 a.m. EST",17850
NYIS,"11/20/2025 10 a.m. EST",16979
NYIS,"11/20/2025 11 a.m. EST",16239
NYIS,"11/20/2025 12 p.m. EST",15652
NYIS,"11/20/2025 1 p.m. EST",15346
NYIS,"11/20/2025 2 p.m. EST",15324
NYIS,"11/20/2025 3 p.m. EST",15972
NYIS,"11/20/2025 4 p.m. EST",17201
NYIS,"11/20/2025 5 p.m. EST",18575
NYIS,"11/20/2025 6 p.m. EST",19380
NYIS,"11/20/2025 7 p.m. EST",19327
NYIS,"11/20/2025 8 p.m. EST",19082
NYIS,"11/20/2025 9 p.m. EST",18626
NYIS,"11/20/2025 10 p.m. EST",17927
NYIS,"11/20/2025 11 p.m. EST",17009
NYIS,"11/21/2025 12 a.m. EST",16059
NYIS,"11/21/2025 1 a.m. EST",15382
NYIS,"11/21/2025 2 a.m. EST",14905
NYIS,"11/21/2025 3 a.m. EST",14564
NYIS,"11/21/2025 4 a.m. EST",14424
NYIS,"11/21/2025 5 a.m. EST",14584
NYIS,"11/21/2025 6 a.m. EST",15307
NYIS,"11/21/2025 7 a.m. EST",16649
NYIS,"11/21/2025 8 a.m. EST",17670
NYIS,"11/21/2025 9 a.m. EST",18060
NYIS,"11/21/2025 10 a.m. EST",18106
NYIS,"11/21/2025 11 a.m. EST",18033
NYIS,"11/21/2025 12 p.m. EST",17932
NYIS,"11/21/2025 1 p.m. EST",17678
NYIS,"11/21/2025 2 p.m. EST",17521
NYIS,"11/21/2025 3 p.m. EST",17518
NYIS,"11/21/2025 4 p.m. EST",17894
NYIS,"11/21/2025 5 p.m. EST",18504
NYIS,"11/21/2025 6 p.m. EST",18822
NYIS,"11/21/2025 7 p.m. EST",18484
NYIS,"11/21/2025 8 p.m. EST",18055
NYIS,"11/21/2025 9 p.m. EST",17472
NYIS,"11/21/2025 10 p.m. EST",16858
NYIS,"11/21/2025 11 p.m. EST",16093
NYIS,"11/22/2025 12 a.m. EST",15256
NYIS,"11/22/2025 1 a.m. EST",14649
NYIS,"11/22/2025 2 a.m. EST",14157
NYIS,"11/22/2025 3 a.m. EST",13819
NYIS,"11/22/2025 4 a.m. EST",13644
NYIS,"11/22/2025 5 a.m. EST",13687
NYIS,"11/22/2025 6 a.m. EST",14013
NYIS,"11/22/2025 7 a.m. EST",14607
NYIS,"11/22/2025 8 a.m. EST",15185
NYIS,"11/22/2025 9 a.m. EST",15550
NYIS,"11/22/2025 10 a.m. EST",15510
NYIS,"11/22/2025 11 a.m. EST",15384
NYIS,"11/22/2025 12 p.m. EST",15340
NYIS,"11/22/2025 1 p.m. EST",15243
NYIS,"11/22/2025 2 p.m. EST",15219
NYIS,"11/22/2025 3 p.m. EST",15479
NYIS,"11/22/2025 4 p.m. EST",16103
NYIS,"11/22/2025 5 p.m. EST",17161
NYIS,"11/22/2025 6 p.m. EST",17859
NYIS,"11/22/2025 7 p.m. EST",17818
NYIS,"11/22/2025 8 p.m. EST",17578
NYIS,"11/22/2025 9 p.m. EST",17263
NYIS,"11/22/2025 10 p.m. EST",16851
NYIS,"11/22/2025 11 p.m. EST",16254
NYIS,"11/23/2025 12 a.m. EST",15613
NYIS,"11/23/2025 1 a.m. EST",15104
NYIS,"11/23/2025 2 a.m. EST",14704
NYIS,"11/23/2025 3 a.m. EST",14427
NYIS,"11/23/2025 4 a.m. EST",14274
NYIS,"11/23/2025 5 a.m. EST",14322
NYIS,"11/23/2025 6 a.m. EST",14579
NYIS,"11/23/2025 7 a.m. EST",15076
NYIS,"11/23/2025 8 a.m. EST",15496
NYIS,"11/23/2025 9 a.m. EST",15812
NYIS,"11/23/2025 10 a.m. EST",16000
NYIS,"11/23/2025 11 a.m. EST",16179
NYIS,"11/23/2025 12 p.m. EST",16442
NYIS,"11/23/2025 1 p.m. EST",16714
NYIS,"11/23/2025 2 p.m. EST",16921
NYIS,"11/23/2025 3 p.m. EST",16974
NYIS,"11/23/2025 4 p.m. EST",17293
NYIS,"11/23/2025 5 p.m. EST",17943
NYIS,"11/23/2025 6 p.m. EST",18588
NYIS,"11/23/2025 7 p.m. EST",18453
NYIS,"11/23/2025 8 p.m. EST",18108
NYIS,"11/23/2025 9 p.m. EST",17690
NYIS,"11/23/2025 10 p.m. EST",17003
NYIS,"11/23/2025 11 p.m. EST",16111
NYIS,"11/24/2025 12 a.m. EST",15268
NYIS,"11/24/2025 1 a.m. EST",14689
NYIS,"11/24/2025 2 a.m. EST",14251
NYIS,"11/24/2025 3 a.m. EST",13974
NYIS,"11/24/2025 4 a.m. EST",13896
NYIS,"11/24/2025 5 a.m. EST",14164
NYIS,"11/24/2025 6 a.m. EST",15038
NYIS,"11/24/2025 7 a.m. EST",16494
NYIS,"11/24/2025 8 a.m. EST",17379
NYIS,"11/24/2025 9 a.m. EST",17157
NYIS,"11/24/2025 10 a.m. EST",16476
NYIS,"11/24/2025 11 a.m. EST",15922
NYIS,"11/24/2025 12 p.m. EST",15539
NYIS,"11/24/2025 1 p.m. EST",15256
NYIS,"11/24/2025 2 p.m. EST",15306
NYIS,"11/24/2025 3 p.m. EST",15959
NYIS,"11/24/2025 4 p.m. EST",17194
NYIS,"11/24/2025 5 p.m. EST",18395
NYIS,"11/24/2025 6 p.m. EST",19179
NYIS,"11/24/2025 7 p.m. EST",19068
NYIS,"11/24/2025 8 p.m. EST",18773
NYIS,"11/24/2025 9 p.m. EST",18307
NYIS,"11/24/2025 10 p.m. EST",17566
NYIS,"11/24/2025 11 p.m. EST",16601
NYIS,"11/25/2025 12 a.m. EST",15610
NYIS,"11/25/2025 1 a.m. EST",14944
NYIS,"11/25/2025 2 a.m. EST",14455
NYIS,"11/25/2025 3 a.m. EST",14157
NYIS,"11/25/2025 4 a.m. EST",14047
NYIS,"11/25/2025 5 a.m. EST",14287
NYIS,"11/25/2025 6 a.m. EST",15055
NYIS,"11/25/2025 7 a.m. EST",16422
NYIS,"11/25/2025 8 a.m. EST",17400
NYIS,"11/25/2025 9 a.m. EST",17494
NYIS,"11/25/2025 10 a.m. EST",17404
NYIS,"11/25/2025 11 a.m. EST",17302
NYIS,"11/25/2025 12 p.m. EST",17265
NYIS,"11/25/2025 1 p.m. EST",17276
NYIS,"11/25/2025 2 p.m. EST",17659
NYIS,"11/25/2025 3 p.m. EST",17888
NYIS,"11/25/2025 4 p.m. EST",18100
NYIS,"11/25/2025 5 p.m. EST",18688
NYIS,"11/25/2025 6 p.m. EST",19054
NYIS,"11/25/2025 7 p.m. EST",18803
NYIS,"11/25/2025 8 p.m. EST",18393
NYIS,"11/25/2025 9 p.m. EST",17837
NYIS,"11/25/2025 10 p.m. EST",17073
NYIS,"11/25/2025 11 p.m. EST",16137
NYIS,"11/26/2025 12 a.m. EST",15181
